sample_id	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct
Z1.1t7	64747	59323	59115	59154	58638	56550	91.6227778893231	90.5648138137674	87.3399539747015	3.2248598390659
Z1.1t90	64893	59935	59903	59921	59864	58954	92.3597306335044	92.2503197571387	90.8480113417472	1.40230841539149
Z1.2t30	79921	71797	71733	71701	71607	64993	89.8349620249997	89.5972272619212	81.3215550355977	8.27567222632349
Z1.2t7	64607	59761	59678	59654	58731	51747	92.4992647855496	90.9050102930023	80.0950361415946	10.8099741514077
Z1.2t90	64338	57398	57370	57376	57368	57368	89.2132176940533	89.1665889520967	89.1665889520967	0
Z1.3t30	62088	56409	56324	56328	56255	51157	90.8533049864708	90.6052699394408	82.394343512434	8.21092642700683
Z1.3t7	68442	61359	61341	61323	61318	60788	89.6510914350837	89.5911866982262	88.8168083925075	0.774378305718711
Z1.3t90	63616	58209	58188	58186	58183	58176	91.5005658953722	91.4596956740443	91.4486921529175	0.0110035211267606
Z1.4t30	64809	59789	59468	59694	59267	45234	92.2541622305544	91.4487185421778	69.795861685877	21.6528568563008
Z1.4t7	65483	59680	59529	59545	59424	56791	91.1381579952049	90.7472168349037	86.7263259166501	4.02089091825359
Z1.4t90	65836	59853	59801	59812	59761	59546	90.9122668448873	90.7725256698463	90.4459566194787	0.32656905036758
Z1.5t30	79288	71572	71459	71494	71404	58466	90.2683886590657	90.0565028755928	73.7387750983756	16.3177277772172
Z1.5t7	62610	57139	57118	57112	57107	56601	91.2617792684875	91.210669222169	90.402491614758	0.808177607410957
Z2.1t7	70959	63623	61749	61643	55195	39604	89.6616355923844	77.7843543454671	55.8125114502741	21.971842895193
Z2.1t90	66389	59947	59864	59707	59613	58503	90.2965852776815	89.7934898853726	88.1215261564416	1.671963728931
Z2.2t30	66371	59135	59023	59003	58559	56907	89.0976480691869	88.2297991592714	85.7407602718055	2.48903888746591
Z2.2t7	66454	61064	60654	60639	55998	44944	91.8891263129383	84.2658079272881	67.631745267403	16.634062659885
Z2.2t90	71347	65604	65514	65474	65353	62521	91.9506075938722	91.598805836265	87.6294728580039	3.96933297826117
Z2.3t30	64454	58506	58442	58465	58362	49021	90.7717131597729	90.5482980109846	76.0557917274335	14.4925062835511
Z2.3t7	63308	55834	54360	54419	49369	39576	88.1942250584444	77.9822455297909	62.5134264232009	15.46881910659
Z2.3t90	62755	56550	56503	56491	56470	56339	90.112341646084	89.9848617640029	89.7761134570951	0.208748306907816
Z2.4t30	66441	60041	59991	59991	59884	56783	90.3673936274289	90.1310937523517	85.4637949458919	4.66729880645987
Z2.4t7	63178	55238	53631	53676	48291	37792	87.4323340403305	76.4364177403527	59.8182911773086	16.6181265630441
Z2.4t90	63774	58967	58934	58953	58873	56773	92.4624455107097	92.3150500203845	89.022172045034	3.29287797535046
Z2.5t30	62269	56499	56435	56418	56004	41498	90.7337519471968	89.9388138560118	66.6431129454464	23.2957009105655
Z2.5t7	62910	58618	58492	58268	57847	57166	93.1775552376411	91.9519949133683	90.8694961055476	1.0824988078207
Z2.5t90	77731	71678	71539	71653	71525	71412	92.2128880369479	92.0160553704442	91.8706822245951	0.145373145849146
Z3	76678	70025	69258	69231	65856	52571	91.3234565325126	85.8864341792952	68.5607345001174	17.3256996791779
Z3.1t30	73011	67148	67055	66956	66865	65664	91.9697031954089	91.5820903699443	89.9371327608169	1.64495760912739
Z3.1t7	71460	59746	58642	58554	54473	44782	83.6076126504338	76.2286593898685	62.667226420375	13.5614329694934
Z3.1t90	72859	67596	67440	67451	66664	54049	92.7764586392896	91.4972755596426	74.1830110212877	17.3142645383549
Z3.2t30	65062	58620	58568	58596	58548	58321	90.0986751098952	89.9880114352464	89.6391134610064	0.348897974239956
Z3.2t7	64233	57928	57889	57880	57850	57604	90.1841732442825	90.0627403359644	89.6797596251148	0.382980710849563
