sample_id	r1_source	r2_source	r1_md5_expected	r2_md5_expected	sample_type	include_qc	include_biological_analysis	diet_code	diet_label	hydrolysate_percent	fishmeal_percent	timepoint_day	tank	fish	group	r1_size_bytes	r2_size_bytes	r1_symlink	r2_symlink
X2.4t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t7/X2.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t7/X2.4t7.raw_2.fastq.gz	33d9335fe0930b194cef4457f1925a51	5956738b545564ab6d23b55001480467	Intestine	yes	yes	X	commercial_control	0	30	7	2	4	X.t7	4371257	4301003	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t7/X2.4t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t7/X2.4t7.raw_2.fastq.gz
X2.4t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t90/X2.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.4t90/X2.4t90.raw_2.fastq.gz	7bdcf6caa7f822b7c42b0010861ace1e	7673ffc03a78fcfcd65fb11a565d20c3	Intestine	yes	yes	X	commercial_control	0	30	90	2	4	X.t90	3412104	2934276	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t90/X2.4t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.4t90/X2.4t90.raw_2.fastq.gz
X2.5t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t30/X2.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t30/X2.5t30.raw_2.fastq.gz	065905140756e87607a3195ecb735e55	aa10d2c39774628c40bd24b88d33245a	Intestine	yes	yes	X	commercial_control	0	30	30	2	5	X.t30	2892990	2845302	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t30/X2.5t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t30/X2.5t30.raw_2.fastq.gz
X2.5t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t7/X2.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t7/X2.5t7.raw_2.fastq.gz	59d5056e47c56e18ff13cc4254dabb86	8311eb0614021c6ce2b0b7cfc98234fa	Intestine	yes	yes	X	commercial_control	0	30	7	2	5	X.t7	3057051	2946477	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t7/X2.5t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t7/X2.5t7.raw_2.fastq.gz
X2.5t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t90/X2.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X2.5t90/X2.5t90.raw_2.fastq.gz	ef476d0a6034778a9506912f2b9ac052	4d7336b6600ce50152105aec04994c89	Intestine	yes	yes	X	commercial_control	0	30	90	2	5	X.t90	1433924	1434463	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t90/X2.5t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X2.5t90/X2.5t90.raw_2.fastq.gz
X3	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3/X3.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3/X3.raw_2.fastq.gz	ed24f773fc14143cbb9aca4e772a7511	73e158dd95492ab0665069fc528dd03f	Feed	yes	no	X	commercial_control_feed	0	30	NA	3	NA	X.Feed	2960834	3029625	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3/X3.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3/X3.raw_2.fastq.gz
X3.1t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t30/X3.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t30/X3.1t30.raw_2.fastq.gz	a48dd6c7d8cefec453353cb1998c2956	1a938b31e89fff3d961c2d673d8c5e3c	Intestine	yes	yes	X	commercial_control	0	30	30	3	1	X.t30	3578012	3652414	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t30/X3.1t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t30/X3.1t30.raw_2.fastq.gz
X3.1t7	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t7/X3.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t7/X3.1t7.raw_2.fastq.gz	6cf624d0fd333158247dbbfede08d4d2	a1ab25634e10e315b01040275c106d0d	Intestine	yes	yes	X	commercial_control	0	30	7	3	1	X.t7	3560977	3648707	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t7/X3.1t7.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t7/X3.1t7.raw_2.fastq.gz
X3.1t90	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t90/X3.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.1t90/X3.1t90.raw_2.fastq.gz	1d9cf65a36d6d496ff348497b7ac7e30	4602c2477555f07bcc2ce1ca1d68f872	Intestine	yes	yes	X	commercial_control	0	30	90	3	1	X.t90	2244987	2032205	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t90/X3.1t90.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.1t90/X3.1t90.raw_2.fastq.gz
X3.2t30	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t30/X3.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/result_X204SC25103850-Z01-F001/01.RawData/X3.2t30/X3.2t30.raw_2.fastq.gz	6b0413187a519c18bd07029fcc66cedb	2bf272002850ca12e50518a340625214	Intestine	yes	yes	X	commercial_control	0	30	30	3	2	X.t30	3027947	2973885	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t30/X3.2t30.raw_1.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/data/raw_reads/by_sample/X3.2t30/X3.2t30.raw_2.fastq.gz
