sample_id	input_path	reads.in	reads.out	filt_f	filt_r
X2.5t7	X2.5t7_R1.trimmed.fastq.gz	65788	59504	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t7_R2.filtered.fastq.gz
X2.5t90	X2.5t90_R1.trimmed.fastq.gz	31070	28762	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X2.5t90_R2.filtered.fastq.gz
X3	X3_R1.trimmed.fastq.gz	62075	57155	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3_R2.filtered.fastq.gz
X3.1t30	X3.1t30_R1.trimmed.fastq.gz	69434	63060	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t30_R2.filtered.fastq.gz
X3.1t7	X3.1t7_R1.trimmed.fastq.gz	62299	55044	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t7_R2.filtered.fastq.gz
X3.1t90	X3.1t90_R1.trimmed.fastq.gz	43001	39579	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.1t90_R2.filtered.fastq.gz
X3.2t30	X3.2t30_R1.trimmed.fastq.gz	64707	58642	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t30_R2.filtered.fastq.gz
X3.2t7	X3.2t7_R1.trimmed.fastq.gz	65614	58277	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t7_R2.filtered.fastq.gz
X3.2t90	X3.2t90_R1.trimmed.fastq.gz	34388	32143	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.2t90_R2.filtered.fastq.gz
X3.3t30	X3.3t30_R1.trimmed.fastq.gz	77303	69847	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t30_R2.filtered.fastq.gz
X3.3t7	X3.3t7_R1.trimmed.fastq.gz	66010	56178	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t7_R2.filtered.fastq.gz
X3.3t90	X3.3t90_R1.trimmed.fastq.gz	84403	80062	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.3t90_R2.filtered.fastq.gz
X3.4t30	X3.4t30_R1.trimmed.fastq.gz	64628	58799	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t30_R2.filtered.fastq.gz
X3.4t7	X3.4t7_R1.trimmed.fastq.gz	73099	61118	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t7_R2.filtered.fastq.gz
X3.4t90	X3.4t90_R1.trimmed.fastq.gz	79050	72950	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.4t90_R2.filtered.fastq.gz
X3.5t30	X3.5t30_R1.trimmed.fastq.gz	63142	57632	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t30_R2.filtered.fastq.gz
X3.5t7	X3.5t7_R1.trimmed.fastq.gz	64719	60580	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t7_R2.filtered.fastq.gz
X3.5t90	X3.5t90_R1.trimmed.fastq.gz	65591	61466	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/X3.5t90_R2.filtered.fastq.gz
Y1.1t30	Y1.1t30_R1.trimmed.fastq.gz	63156	57631	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t30_R2.filtered.fastq.gz
Y1.1t7	Y1.1t7_R1.trimmed.fastq.gz	78919	68081	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t7_R2.filtered.fastq.gz
Y1.1t90	Y1.1t90_R1.trimmed.fastq.gz	31454	29371	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.1t90_R2.filtered.fastq.gz
Y1.2t30	Y1.2t30_R1.trimmed.fastq.gz	63660	59265	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t30_R2.filtered.fastq.gz
Y1.2t7	Y1.2t7_R1.trimmed.fastq.gz	66068	58603	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t7_R2.filtered.fastq.gz
Y1.2t90	Y1.2t90_R1.trimmed.fastq.gz	82559	78650	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t90_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.2t90_R2.filtered.fastq.gz
Y1.3t30	Y1.3t30_R1.trimmed.fastq.gz	68961	62758	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t30_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t30_R2.filtered.fastq.gz
Y1.3t7	Y1.3t7_R1.trimmed.fastq.gz	64852	58832	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t7_R1.filtered.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/02_filter_trim/run_02_optimized/filtered_fastq/Y1.3t7_R2.filtered.fastq.gz
