asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	Species_addSpecies
ASV09194	NA	NA	NA	NA	NA	NA	NA	NA
ASV05274	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV13139	NA	NA	NA	NA	NA	NA	NA	NA
ASV12604	NA	NA	NA	NA	NA	NA	NA	NA
ASV06750	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV10760	NA	NA	NA	NA	NA	NA	NA	NA
ASV13562	NA	NA	NA	NA	NA	NA	NA	NA
ASV09922	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	NA	NA	NA
ASV06461	NA	NA	NA	NA	NA	NA	NA	NA
ASV13470	NA	NA	NA	NA	NA	NA	NA	NA
ASV13116	NA	NA	NA	NA	NA	NA	NA	NA
ASV12601	NA	NA	NA	NA	NA	NA	NA	NA
ASV12801	NA	NA	NA	NA	NA	NA	NA	NA
ASV10674	NA	NA	NA	NA	NA	NA	NA	NA
ASV14597	NA	NA	NA	NA	NA	NA	NA	NA
ASV08816	NA	NA	NA	NA	NA	NA	NA	NA
ASV13074	NA	NA	NA	NA	NA	NA	NA	NA
ASV07526	NA	NA	NA	NA	NA	NA	NA	NA
ASV07527	NA	NA	NA	NA	NA	NA	NA	NA
ASV13106	NA	NA	NA	NA	NA	NA	NA	NA
ASV14194	NA	NA	NA	NA	NA	NA	NA	NA
ASV12803	NA	NA	NA	NA	NA	NA	NA	NA
ASV13073	NA	NA	NA	NA	NA	NA	NA	NA
ASV01408	NA	NA	NA	NA	NA	NA	NA	NA
ASV13907	NA	NA	NA	NA	NA	NA	NA	NA
ASV08741	NA	NA	NA	NA	NA	NA	NA	NA
ASV13993	NA	NA	NA	NA	NA	NA	NA	NA
ASV10763	NA	NA	NA	NA	NA	NA	NA	NA
ASV14313	NA	NA	NA	NA	NA	NA	NA	NA
ASV10753	NA	NA	NA	NA	NA	NA	NA	NA
ASV07205	NA	NA	NA	NA	NA	NA	NA	NA
ASV05966	NA	NA	NA	NA	NA	NA	NA	NA
ASV04501	NA	NA	NA	NA	NA	NA	NA	NA
ASV13467	NA	NA	NA	NA	NA	NA	NA	NA
ASV10045	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV14376	NA	NA	NA	NA	NA	NA	NA	NA
ASV14166	NA	NA	NA	NA	NA	NA	NA	NA
ASV04491	NA	NA	NA	NA	NA	NA	NA	NA
ASV07617	NA	NA	NA	NA	NA	NA	NA	NA
ASV14525	NA	NA	NA	NA	NA	NA	NA	NA
ASV13591	NA	NA	NA	NA	NA	NA	NA	NA
ASV14163	NA	NA	NA	NA	NA	NA	NA	NA
ASV13572	NA	NA	NA	NA	NA	NA	NA	NA
ASV04079	NA	NA	NA	NA	NA	NA	NA	NA
ASV05927	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13922	NA	NA	NA	NA	NA	NA	NA	NA
ASV13681	NA	NA	NA	NA	NA	NA	NA	NA
ASV08227	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV09860	NA	NA	NA	NA	NA	NA	NA	NA
ASV11205	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV08817	NA	NA	NA	NA	NA	NA	NA	NA
ASV11723	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV13682	NA	NA	NA	NA	NA	NA	NA	NA
ASV04049	NA	NA	NA	NA	NA	NA	NA	NA
ASV06210	NA	NA	NA	NA	NA	NA	NA	NA
ASV07488	NA	NA	NA	NA	NA	NA	NA	NA
ASV01856	NA	NA	NA	NA	NA	NA	NA	NA
ASV12810	NA	NA	NA	NA	NA	NA	NA	NA
ASV00769	NA	NA	NA	NA	NA	NA	NA	NA
ASV05718	NA	NA	NA	NA	NA	NA	NA	NA
ASV05889	NA	NA	NA	NA	NA	NA	NA	NA
ASV13104	NA	NA	NA	NA	NA	NA	NA	NA
ASV08507	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA	NA
ASV02946	NA	NA	NA	NA	NA	NA	NA	NA
ASV09859	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV13933	NA	NA	NA	NA	NA	NA	NA	NA
ASV13955	NA	NA	NA	NA	NA	NA	NA	NA
ASV04946	NA	NA	NA	NA	NA	NA	NA	NA
ASV14466	NA	NA	NA	NA	NA	NA	NA	NA
ASV05984	NA	NA	NA	NA	NA	NA	NA	NA
ASV11263	NA	NA	NA	NA	NA	NA	NA	NA
ASV13502	NA	NA	NA	NA	NA	NA	NA	NA
ASV04220	NA	NA	NA	NA	NA	NA	NA	NA
ASV01251	NA	NA	NA	NA	NA	NA	NA	NA
ASV13981	NA	NA	NA	NA	NA	NA	NA	NA
ASV06538	NA	NA	NA	NA	NA	NA	NA	NA
ASV11219	NA	NA	NA	NA	NA	NA	NA	NA
ASV02855	NA	NA	NA	NA	NA	NA	NA	NA
ASV08744	NA	NA	NA	NA	NA	NA	NA	NA
ASV09482	NA	NA	NA	NA	NA	NA	NA	NA
ASV14469	NA	NA	NA	NA	NA	NA	NA	NA
ASV12525	NA	NA	NA	NA	NA	NA	NA	NA
ASV12600	NA	NA	NA	NA	NA	NA	NA	NA
ASV13126	NA	NA	NA	NA	NA	NA	NA	NA
ASV13905	NA	NA	NA	NA	NA	NA	NA	NA
ASV11218	NA	NA	NA	NA	NA	NA	NA	NA
ASV12168	NA	NA	NA	NA	NA	NA	NA	NA
ASV12809	NA	NA	NA	NA	NA	NA	NA	NA
ASV02723	NA	NA	NA	NA	NA	NA	NA	NA
ASV12575	NA	NA	NA	NA	NA	NA	NA	NA
ASV11625	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA	NA
ASV10741	NA	NA	NA	NA	NA	NA	NA	NA
ASV07628	NA	NA	NA	NA	NA	NA	NA	NA
ASV11711	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV02129	NA	NA	NA	NA	NA	NA	NA	NA
ASV13092	NA	NA	NA	NA	NA	NA	NA	NA
ASV08480	NA	NA	NA	NA	NA	NA	NA	NA
ASV10731	NA	NA	NA	NA	NA	NA	NA	NA
ASV09489	NA	NA	NA	NA	NA	NA	NA	NA
ASV13950	NA	NA	NA	NA	NA	NA	NA	NA
ASV03026	NA	NA	NA	NA	NA	NA	NA	NA
ASV05692	NA	NA	NA	NA	NA	NA	NA	NA
ASV09935	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV07114	NA	NA	NA	NA	NA	NA	NA	NA
ASV04785	NA	NA	NA	NA	NA	NA	NA	NA
ASV11221	NA	NA	NA	NA	NA	NA	NA	NA
ASV09181	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA	NA	NA
ASV04631	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA	NA	NA
ASV04008	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV03414	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV02203	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV07634	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV10275	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV07241	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV04993	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV13884	Bacteria	Chloroflexota	Chloroflexia	Kallotenuales	NA	NA	NA	NA
ASV08190	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV01781	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV09549	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	NA	NA
ASV11247	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV06564	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV02766	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	NA	NA
ASV03515	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	NA	NA
ASV01562	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV01367	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV10460	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV02546	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV04128	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV10152	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV08591	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV05202	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV05137	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV01828	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Nitrolancea	NA	NA
ASV02718	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	NA
ASV04519	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	AKYG1722	NA	NA	NA
ASV04099	Bacteria	Chloroflexota	Ktedonobacteria	C0119	NA	NA	NA	NA
ASV02489	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV09548	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	NA	NA
ASV05118	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV12278	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	NA	NA
ASV13136	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV06020	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV01752	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV02892	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV01791	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV00619	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV02957	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV03885	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV03782	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV02880	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
ASV03223	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	NA
