sample_id	sample_type	include_biological_analysis	diet_code	timepoint_day	group	pairs_processed	r1_with_adapter_pct	r2_with_adapter_pct	pairs_too_short_pct	pairs_discarded_untrimmed_pct	pairs_written	pairs_written_pct	r1_trimmed	r2_trimmed	sample_log	reads.in	reads.out	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct	cutadapt_retention_pct	raw_to_nonchim_pct
X2.2t30	Intestine	yes	X	30	X.t30	62029	99.6	99.2	0	0	62029	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.2t30.cutadapt.log	62029	55250	62029	55250	55202	55226	55199	54720	89.0712408712054	88.9890212642474	88.2168018185043	0.77221944574312	100	88.2168018185043
X2.2t7	Intestine	yes	X	7	X.t7	65290	99.6	99.7	0	0	65290	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.2t7.cutadapt.log	65290	60049	65290	60049	60012	60040	60007	57825	91.9727370194517	91.9084086383826	88.566396079032	3.34201255935059	100	88.566396079032
X2.2t90	Intestine	yes	X	90	X.t90	47463	99.7	98.8	0	0	47463	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.2t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.2t90.cutadapt.log	47463	44008	47463	44008	43883	43888	43494	42420	92.7206455554853	91.6376967321914	89.3748814866317	2.2628152455597	100	89.3748814866317
X2.3t30	Intestine	yes	X	30	X.t30	65270	99.6	99.8	0	0	65270	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.3t30.cutadapt.log	65270	59527	65270	59527	59457	59403	59314	58075	91.2011643940555	90.8748276390378	88.9765589091466	1.89826872989122	100	88.9765589091466
X2.3t7	Intestine	yes	X	7	X.t7	63348	99.8	99.3	0	0	63348	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.3t7.cutadapt.log	63348	58787	63348	58787	58725	58766	58697	56945	92.8000884005809	92.6580160383911	89.8923407210962	2.76567531729494	100	89.8923407210962
X2.3t90	Intestine	yes	X	90	X.t90	60140	99.7	99	0	0	60140	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.3t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.3t90.cutadapt.log	60140	55623	60140	55623	55578	55564	55503	53666	92.4891918856003	92.2896574659129	89.235118057865	3.05453940804789	100	89.235118057865
X2.4t30	Intestine	yes	X	30	X.t30	65068	99.5	99	0	0	65068	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.4t30.cutadapt.log	65068	58373	65068	58373	58323	58332	58286	57890	89.710764123686	89.5770578471753	88.9684637609885	0.608594086186758	100	88.9684637609885
X2.4t7	Intestine	yes	X	7	X.t7	79128	99.6	89.1	0	0	79128	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t7_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t7_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.4t7.cutadapt.log	79128	72511	79128	72511	72417	72407	64535	63680	91.6375998382368	81.5577292488121	80.4772014963098	1.08052775250227	100	80.4772014963098
X2.4t90	Intestine	yes	X	90	X.t90	83523	99.8	99.4	0	0	83523	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t90_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.4t90_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.4t90.cutadapt.log	83523	79340	83523	79340	79268	79271	79231	79207	94.9917986662357	94.8612956910073	94.832561090957	0.0287346000502856	100	94.832561090957
X2.5t30	Intestine	yes	X	30	X.t30	63981	99.6	99.5	0	0	63981	100	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t30_R1.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/trimmed_fastq/X2.5t30_R2.trimmed.fastq.gz	/home/dani/descartes_exp2/custom_dada2_preprocessing/results/01_cutadapt/run_02_optimized/sample_logs/X2.5t30.cutadapt.log	63981	58343	63981	58343	58310	58311	58293	57897	91.1880089401541	91.1098607399072	90.4909269939513	0.618933745955831	100	90.4909269939513
