"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",112000,"Rarefaction",136.355417773817,"D07","BL15",15,746251,138
"D07__BL15",113000,"Rarefaction",136.378421817629,"D07","BL15",15,746251,138
"D07__BL15",114000,"Rarefaction",136.40100492074,"D07","BL15",15,746251,138
"D07__BL15",115000,"Rarefaction",136.423177128271,"D07","BL15",15,746251,138
"D07__BL15",116000,"Rarefaction",136.444948156182,"D07","BL15",15,746251,138
"D07__BL15",117000,"Rarefaction",136.466327405905,"D07","BL15",15,746251,138
"D07__BL15",118000,"Rarefaction",136.487323977986,"D07","BL15",15,746251,138
"D07__BL15",119000,"Rarefaction",136.507946684993,"D07","BL15",15,746251,138
"D07__BL15",120000,"Rarefaction",136.528204064004,"D07","BL15",15,746251,138
"D07__BL15",121000,"Rarefaction",136.548104387853,"D07","BL15",15,746251,138
"D07__BL15",122000,"Rarefaction",136.567655676639,"D07","BL15",15,746251,138
"D07__BL15",123000,"Rarefaction",136.58686570801,"D07","BL15",15,746251,138
"D07__BL15",124000,"Rarefaction",136.605742027331,"D07","BL15",15,746251,138
"D07__BL15",125000,"Rarefaction",136.624291956469,"D07","BL15",15,746251,138
"D07__BL15",126000,"Rarefaction",136.642522603499,"D07","BL15",15,746251,138
"D07__BL15",127000,"Rarefaction",136.66044087086,"D07","BL15",15,746251,138
"D07__BL15",128000,"Rarefaction",136.678053463435,"D07","BL15",15,746251,138
"D07__BL15",129000,"Rarefaction",136.695366896472,"D07","BL15",15,746251,138
"D07__BL15",130000,"Rarefaction",136.712387502396,"D07","BL15",15,746251,138
"D07__BL15",131000,"Rarefaction",136.729121438463,"D07","BL15",15,746251,138
"D07__BL15",132000,"Rarefaction",136.745574692789,"D07","BL15",15,746251,138
"D07__BL15",133000,"Rarefaction",136.761753090968,"D07","BL15",15,746251,138
"D07__BL15",134000,"Rarefaction",136.77766230191,"D07","BL15",15,746251,138
"D07__BL15",135000,"Rarefaction",136.7933078439,"D07","BL15",15,746251,138
"D07__BL15",136000,"Rarefaction",136.808695089483,"D07","BL15",15,746251,138
"D07__BL15",137000,"Rarefaction",136.823829271291,"D07","BL15",15,746251,138
"D07__BL15",138000,"Rarefaction",136.838715486381,"D07","BL15",15,746251,138
"D07__BL15",139000,"Rarefaction",136.853358701673,"D07","BL15",15,746251,138
"D07__BL15",140000,"Rarefaction",136.867763757847,"D07","BL15",15,746251,138
"D07__BL15",141000,"Rarefaction",136.881935374102,"D07","BL15",15,746251,138
"D07__BL15",142000,"Rarefaction",136.895878151829,"D07","BL15",15,746251,138
"D07__BL15",143000,"Rarefaction",136.909596579242,"D07","BL15",15,746251,138
"D07__BL15",144000,"Rarefaction",136.923095034439,"D07","BL15",15,746251,138
"D07__BL15",145000,"Rarefaction",136.936377789552,"D07","BL15",15,746251,138
"D07__BL15",146000,"Rarefaction",136.949449013675,"D07","BL15",15,746251,138
"D07__BL15",147000,"Rarefaction",136.962312776756,"D07","BL15",15,746251,138
"D07__BL15",148000,"Rarefaction",136.974973052438,"D07","BL15",15,746251,138
"D07__BL15",149000,"Rarefaction",136.987433720963,"D07","BL15",15,746251,138
"D07__BL15",150000,"Rarefaction",136.999698572525,"D07","BL15",15,746251,138
