"sample_id","sample_type","diet_code","timepoint","diet_time","prevalence_group"
"Y1.3t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y1.3t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y1.4t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y1.4t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y1.4t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y1.5t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y1.5t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y1.5t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y2.1t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y2.1t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y2.1t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y2.2t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y2.2t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y2.2t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y2.3t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y2.3t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y2.3t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y2.4t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y2.4t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y2.4t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y2.5t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y2.5t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y2.5t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y3","Feed","BL15",,,"Feed_BL15"
"Y3.1t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
"Y3.1t7","Intestine","BL15","D07","BL15_D07","BL15_D07"
"Y3.1t90","Intestine","BL15","D90","BL15_D90","BL15_D90"
"Y3.2t30","Intestine","BL15","D30","BL15_D30","BL15_D30"
