"group","n","mean_distance_to_centroid","median_distance_to_centroid","sd_distance_to_centroid","distance","taxonomic_level","comparison","stratum","group_variable"
"D90",15,7.76787757369463,6.71744519810386,3.39647215834028,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"D30",15,10.2865752881197,9.38311133881718,2.5321331819001,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D07",15,15.1480562523313,14.2843700848485,5.10389852418116,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D90",15,7.20842050930679,7.18599431980387,2.11017403312884,"aitchison","Genus","time_within_diet","BL15","timepoint"
"D30",14,9.35683865571001,9.03161663979471,3.29564704241209,"aitchison","Genus","time_within_diet","BL30","timepoint"
"D07",15,15.3251381343083,15.5295015400662,4.19033020383313,"aitchison","Genus","time_within_diet","BL30","timepoint"
"D90",14,7.49352589184984,6.12976181210899,3.88249739170457,"aitchison","Genus","time_within_diet","BL30","timepoint"
"Ctrl",45,13.4855976512068,10.5121551677561,6.96533401425548,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Feed",3,6.10189153581798,6.19516824958908,1.26069724938112,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
"Hydrolysate",88,12.4510410015771,10.5403934302117,5.75493155544096,"aitchison","Genus","ctrl_hydro_feed_global",,"ctrl_hydro_feed"
