"term","Df","SumOfSqs","R2","F","Pr(>F)","distance","taxonomic_level","comparison","stratum","formula"
"Model",2,150.319022281356,0.0527253892892565,1.14103182773871,0.286,"aitchison","Genus","diet_within_timepoint","D90","diet_code"
"Residual",41,2700.66082457556,0.947274610710743,,,"aitchison","Genus","diet_within_timepoint","D90","diet_code"
"Total",43,2850.97984685692,1,,,"aitchison","Genus","diet_within_timepoint","D90","diet_code"
"Model",1,83.5900614308141,0.0293197658071728,1.26862598054781,0.232,"aitchison","Genus","hydro_within_timepoint","D90","hydro_group"
"Residual",42,2767.3897854261,0.970680234192827,,,"aitchison","Genus","hydro_within_timepoint","D90","hydro_group"
"Total",43,2850.97984685692,1,,,"aitchison","Genus","hydro_within_timepoint","D90","hydro_group"
"Model",2,2910.90911276999,0.288518479988153,8.51587554888332,0.001,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"Residual",42,7178.25090529717,0.711481520011847,,,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"Total",44,10089.1600180672,1,,,"aitchison","Genus","time_within_diet","Ctrl","timepoint"
"Model",2,2081.92857341992,0.25704205059565,7.26539512342021,0.001,"aitchison","Genus","time_within_diet","BL15","timepoint"
"Residual",42,6017.63555857879,0.74295794940435,,,"aitchison","Genus","time_within_diet","BL15","timepoint"
"Total",44,8099.56413199872,1,,,"aitchison","Genus","time_within_diet","BL15","timepoint"
"Model",2,2208.87279369397,0.273504842606319,7.52943332994881,0.001,"aitchison","Genus","time_within_diet","BL30","timepoint"
"Residual",40,5867.30155351276,0.726495157393681,,,"aitchison","Genus","time_within_diet","BL30","timepoint"
"Total",42,8076.17434720673,1,,,"aitchison","Genus","time_within_diet","BL30","timepoint"
"Model",2,741.316354288856,0.0576450840225797,1.28459749500917,0.225,"aitchison","Genus","diet_within_timepoint_local_ordination","D07","diet_code"
"Residual",42,12118.6935990054,0.94235491597742,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D07","diet_code"
"Total",44,12860.0099532942,1,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D07","diet_code"
"Model",2,539.052747691074,0.132595966114557,3.13373837238507,0.001,"aitchison","Genus","diet_within_timepoint_local_ordination","D30","diet_code"
"Residual",41,3526.32543451815,0.867404033885443,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D30","diet_code"
"Total",43,4065.37818220923,1,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D30","diet_code"
"Model",2,147.723089847911,0.0555035221440375,1.20468655059007,0.225,"aitchison","Genus","diet_within_timepoint_local_ordination","D90","diet_code"
"Residual",41,2513.78529991795,0.944496477855962,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D90","diet_code"
"Total",43,2661.50838976587,1,,,"aitchison","Genus","diet_within_timepoint_local_ordination","D90","diet_code"
"Model",1,534.446214215807,0.0415587714283925,1.8645140861523,0.087,"aitchison","Genus","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Residual",43,12325.5637390784,0.958441228571608,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Total",44,12860.0099532942,1,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D07","hydro_group"
"Model",1,386.412082685417,0.0950494801139093,4.41137728202719,0.001,"aitchison","Genus","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Residual",42,3678.96609952381,0.904950519886091,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Total",43,4065.37818220923,1,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D30","hydro_group"
"Model",1,81.0869745100622,0.0304665485263398,1.31980493933585,0.2,"aitchison","Genus","hydro_within_timepoint_local_ordination","D90","hydro_group"
"Residual",42,2580.4214152558,0.96953345147366,,,"aitchison","Genus","hydro_within_timepoint_local_ordination","D90","hydro_group"
