"pattern","comparison","n_groups","n_taxa","status","Ctrl","BL15","BL30","x_id","bar_color","Hydrolysate","D07","D30","D90","Feed"
"Ctrl&BL15","upset_core_asv_diet_D30",2,0,"shared_partial",TRUE,TRUE,FALSE,5,"grey55",,,,,
"Ctrl&BL30","upset_core_asv_diet_D30",2,0,"shared_partial",TRUE,FALSE,TRUE,6,"grey55",,,,,
"Ctrl","upset_core_asv_diet_D30",1,0,"exclusive",TRUE,FALSE,FALSE,7,"#2B6CB0",,,,,
"Ctrl&Hydrolysate","upset_core_asv_hydro_D30",2,10,"common_all",TRUE,,,1,"grey45",TRUE,,,,
"Hydrolysate","upset_core_asv_hydro_D30",1,3,"exclusive",FALSE,,,2,"#C53030",TRUE,,,,
"Ctrl","upset_core_asv_hydro_D30",1,0,"exclusive",TRUE,,,3,"#2B6CB0",FALSE,,,,
"Ctrl&BL15&BL30","upset_core_asv_diet_D90",3,4,"common_all",TRUE,TRUE,TRUE,1,"grey45",,,,,
"Ctrl&BL15","upset_core_asv_diet_D90",2,2,"shared_partial",TRUE,TRUE,FALSE,2,"grey55",,,,,
"BL15","upset_core_asv_diet_D90",1,2,"exclusive",FALSE,TRUE,FALSE,3,"#38A169",,,,,
"BL30","upset_core_asv_diet_D90",1,2,"exclusive",FALSE,FALSE,TRUE,4,"#DD6B20",,,,,
"BL15&BL30","upset_core_asv_diet_D90",2,1,"shared_partial",FALSE,TRUE,TRUE,5,"grey55",,,,,
"Ctrl&BL30","upset_core_asv_diet_D90",2,1,"shared_partial",TRUE,FALSE,TRUE,6,"grey55",,,,,
"Ctrl","upset_core_asv_diet_D90",1,1,"exclusive",TRUE,FALSE,FALSE,7,"#2B6CB0",,,,,
"Ctrl&Hydrolysate","upset_core_asv_hydro_D90",2,5,"common_all",TRUE,,,1,"grey45",TRUE,,,,
"Ctrl","upset_core_asv_hydro_D90",1,3,"exclusive",TRUE,,,2,"#2B6CB0",FALSE,,,,
"Hydrolysate","upset_core_asv_hydro_D90",1,3,"exclusive",FALSE,,,3,"#C53030",TRUE,,,,
"D07","upset_core_asv_time_Ctrl",1,15,"exclusive",,,,1,"#0072B2",,TRUE,FALSE,FALSE,
"D07&D30&D90","upset_core_asv_time_Ctrl",3,6,"common_all",,,,2,"grey45",,TRUE,TRUE,TRUE,
"D07&D30","upset_core_asv_time_Ctrl",2,2,"shared_partial",,,,3,"grey55",,TRUE,TRUE,FALSE,
"D30","upset_core_asv_time_Ctrl",1,2,"exclusive",,,,4,"#E69F00",,FALSE,TRUE,FALSE,
"D90","upset_core_asv_time_Ctrl",1,2,"exclusive",,,,5,"#CC79A7",,FALSE,FALSE,TRUE,
"D07&D90","upset_core_asv_time_Ctrl",2,0,"shared_partial",,,,6,"grey55",,TRUE,FALSE,TRUE,
"D30&D90","upset_core_asv_time_Ctrl",2,0,"shared_partial",,,,7,"grey55",,FALSE,TRUE,TRUE,
"D07&D30&D90","upset_core_asv_time_BL15",3,8,"common_all",,,,1,"grey45",,TRUE,TRUE,TRUE,
"D07&D30","upset_core_asv_time_BL15",2,3,"shared_partial",,,,2,"grey55",,TRUE,TRUE,FALSE,
"D30","upset_core_asv_time_BL15",1,2,"exclusive",,,,3,"#E69F00",,FALSE,TRUE,FALSE,
"D30&D90","upset_core_asv_time_BL15",2,1,"shared_partial",,,,4,"grey55",,FALSE,TRUE,TRUE,
"D07","upset_core_asv_time_BL15",1,1,"exclusive",,,,5,"#0072B2",,TRUE,FALSE,FALSE,
"D07&D90","upset_core_asv_time_BL15",2,0,"shared_partial",,,,6,"grey55",,TRUE,FALSE,TRUE,
"D90","upset_core_asv_time_BL15",1,0,"exclusive",,,,7,"#CC79A7",,FALSE,FALSE,TRUE,
"D07&D30&D90","upset_core_asv_time_BL30",3,5,"common_all",,,,1,"grey45",,TRUE,TRUE,TRUE,
"D07&D30","upset_core_asv_time_BL30",2,4,"shared_partial",,,,2,"grey55",,TRUE,TRUE,FALSE,
"D07","upset_core_asv_time_BL30",1,3,"exclusive",,,,3,"#0072B2",,TRUE,FALSE,FALSE,
"D30","upset_core_asv_time_BL30",1,3,"exclusive",,,,4,"#E69F00",,FALSE,TRUE,FALSE,
"D90","upset_core_asv_time_BL30",1,2,"exclusive",,,,5,"#CC79A7",,FALSE,FALSE,TRUE,
"D30&D90","upset_core_asv_time_BL30",2,1,"shared_partial",,,,6,"grey55",,FALSE,TRUE,TRUE,
"D07&D90","upset_core_asv_time_BL30",2,0,"shared_partial",,,,7,"grey55",,TRUE,FALSE,TRUE,
"Feed","upset_core_asv_ctrl_hydro_feed_global",1,25,"exclusive",FALSE,,,1,"#7F7F7F",FALSE,,,,TRUE
"Ctrl&Hydrolysate","upset_core_asv_ctrl_hydro_feed_global",2,9,"shared_partial",TRUE,,,2,"grey55",TRUE,,,,FALSE
"Hydrolysate","upset_core_asv_ctrl_hydro_feed_global",1,2,"exclusive",FALSE,,,3,"#C53030",TRUE,,,,FALSE
"Ctrl","upset_core_asv_ctrl_hydro_feed_global",1,1,"exclusive",TRUE,,,4,"#2B6CB0",FALSE,,,,FALSE
"Ctrl&Hydrolysate&Feed","upset_core_asv_ctrl_hydro_feed_global",3,0,"common_all",TRUE,,,5,"grey45",TRUE,,,,TRUE
"Ctrl&Feed","upset_core_asv_ctrl_hydro_feed_global",2,0,"shared_partial",TRUE,,,6,"grey55",FALSE,,,,TRUE
"Hydrolysate&Feed","upset_core_asv_ctrl_hydro_feed_global",2,0,"shared_partial",FALSE,,,7,"grey55",TRUE,,,,TRUE
