"tax_level","panel","timepoint","taxon_plot","mean_rel_abundance","percent"
"Species","BL30","D30","Cetobacterium unresolved",0.00176017200475316,0.176017200475316
"Species","BL30","D30","Streptococcus unresolved",0.00117656811320502,0.117656811320502
"Species","BL30","D30","Acinetobacter johnsonii",0.000891247006108724,0.0891247006108724
"Species","BL30","D30","Bacteroides dorei",0,0
"Species","BL30","D30","Bacteroides thetaiotaomicron",0,0
"Species","BL30","D30","Blautia unresolved",0,0
"Species","BL30","D30","Buchnera unresolved",0,0
"Species","BL30","D30","Candidatus Hamiltonella unresolved",0,0
"Species","BL30","D30","Delftia acidovorans",0,0
"Species","BL30","D90","Unclassified Mycoplasmataceae genus unresolved",0.769301918253294,76.9301918253294
"Species","BL30","D90","Vibrio scophthalmi",0.156183268755713,15.6183268755713
"Species","BL30","D90","Photobacterium unresolved",0.0414571362378435,4.14571362378435
"Species","BL30","D90","Vibrio unresolved",0.0193151064114118,1.93151064114118
"Species","BL30","D90","Photobacterium phosphoreum",0.00878942126868783,0.878942126868783
"Species","BL30","D90","Others",0.0024682689708752,0.24682689708752
"Species","BL30","D90","Cetobacterium unresolved",0.00148135313022687,0.148135313022687
"Species","BL30","D90","Streptococcus unresolved",0.000690570546923024,0.0690570546923024
"Species","BL30","D90","Cutibacterium acnes",0.000240205911644654,0.0240205911644654
"Species","BL30","D90","Acinetobacter johnsonii",7.2750513380183e-05,0.0072750513380183
"Species","BL30","D90","Bacteroides dorei",0,0
"Species","BL30","D90","Bacteroides thetaiotaomicron",0,0
"Species","BL30","D90","Blautia unresolved",0,0
"Species","BL30","D90","Buchnera unresolved",0,0
"Species","BL30","D90","Candidatus Hamiltonella unresolved",0,0
"Species","BL30","D90","Delftia acidovorans",0,0
