"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","model","term","full_model","reduced_model","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label"
"ASV00050",13.2049542028161,5.0839158645949,1.82656408899922,1.98263154056468,0.371088102959704,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","johnsonii","johnsonii","johnsonii (ASV00050)"
"ASV00052",7.09688125256636,1.20127436818236,1.70626143262344,0.445760572221502,0.800210639888627,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","bullata","bullata/halotolerans/terrae","bullata (ASV00052)"
"ASV00053",7.93987100016192,-0.121965701004608,1.79292669008119,0.219631177294957,0.89599935251455,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",,"saccharivorans","Fusicatenibacter (ASV00053)"
"ASV00054",7.01685758047415,-0.351467240615955,1.71507218357663,0.170117162759823,0.918458478260406,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,"massiliensis","Blautia (ASV00054)"
"ASV00055",0.705904988094453,1.0992736244468,2.51041648161681,0.524092357261822,0.769475489562496,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","cibaria","cibaria/confusa/koreensis/minor","cibaria (ASV00055)"
"ASV00056",1.19596729699213,-0.614798867819416,2.52252638372221,0.185071617139528,0.911616566694567,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",,,"Lactococcus (ASV00056)"
"ASV00057",7.66901650203918,-0.197568436233237,1.86252808533863,0.142630915537779,0.931168101578988,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","bromii","bromii","bromii (ASV00057)"
"ASV00058",12.0359797370544,17.9994624413586,3.57049938247533,1.72189258346747,0.422761836941535,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium",,,"Photobacterium (ASV00058)"
"ASV00059",5.94604075366833,-1.61342579029833,1.82584628020963,0.824822227493485,0.662052041400974,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",,"baetica/chlororaphis/fluorescens/fulva/granadensis/koreensis/kribbensis/moraviensis/putida/reinekei/teessidea","Pseudomonas (ASV00059)"
"ASV00060",7.74737756178301,0.04802948388013,1.95748693672715,0.122183259726057,0.940737036220885,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","xylosus","aureus/cohnii/saccharolyticus/saprophyticus/xylosus","xylosus (ASV00060)"
"ASV00061",4.70029922474307,-0.0137572047055,2.32232900602498,0.101045000077875,0.950732536912571,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",,,"Lactiplantibacillus (ASV00061)"
"ASV00062",6.27213857162397,0.227900039423233,1.89331997011867,0.247507876029658,0.883597233825031,1,"DESeq2","asv","diet_adjusted_time","diet_code","~ timepoint + diet_code","~ timepoint",FALSE,"Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Mammaliicoccus",,,"Mammaliicoccus (ASV00062)"
