"taxon_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","level","comparison","family","group_variable","reference","contrast","adjustment","n_reference","n_contrast","Kingdom","Phylum","Class","Order","Family","Genus","Species","Species_addSpecies","taxon_label","significant"
"ASV00016",2652.53806169093,7.72445406786117,2.21182198723578,3.49234889264972,0.000478792412145074,0.0183138097645491,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","phosphoreum/piscicola","phosphoreum (ASV00016)",TRUE
"ASV00017",88.1912808052443,1.28108605665776,1.92056727166673,0.667035242949857,0.504749622110728,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",,,"Buchnera (ASV00017)",FALSE
"ASV00018",2.32088628735332,0.735184797924281,2.08888768672214,0.351950371768395,0.724875481693068,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",,,,"Unclassified Mitochondria genus (ASV00018)",FALSE
"ASV00019",57.3939446626152,1.02477418474724,1.90183834513116,0.538833485701211,0.590001755935426,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","dorei","dorei/vulgatus","dorei (ASV00019)",FALSE
"ASV00020",427.155014609073,-2.12074077178011,1.73903741545194,-1.21949116961866,0.222657825405211,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Photobacterium","phosphoreum","piscicola","phosphoreum (ASV00020)",FALSE
"ASV00021",225.781861859963,1.84344299788941,1.12273748967307,1.64191809291609,0.100606979723188,0.962054243602985,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00021)",FALSE
"ASV00022",0.614322799374529,-0.300746224969826,2.91138653466836,-0.103299998604989,0.917724876727416,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",,,,,"Unclassified Cyanobacteriota (ASV00022)",FALSE
"ASV00023",80.2574239687753,0.724866081411737,1.12731831095071,0.643000361451089,0.520223865347081,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",,,"Vibrio (ASV00023)",FALSE
"ASV00024",0.276375325750506,0.418854232170124,2.91129029364025,0.143872369267028,0.885601254787128,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",,,"Limosilactobacillus (ASV00024)",FALSE
"ASV00025",31.2422363273882,1.18916695178193,1.97873013064635,0.600974803670416,0.54785676842046,0.98789635871281,"DESeq2","asv","global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","timepoint",45,43,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",,"obeum/wexlerae","Blautia (ASV00025)",FALSE
